,value,datetime
168,0.6758398793774353,2019-07-08T00:00:00+02:00
169,0.6366483141197412,2019-07-08T01:00:00+02:00
170,0.6113378154428347,2019-07-08T02:00:00+02:00
171,0.594503624083343,2019-07-08T03:00:00+02:00
172,0.5916802473621814,2019-07-08T04:00:00+02:00
173,0.606726736984382,2019-07-08T05:00:00+02:00
174,0.6663414200347528,2019-07-08T06:00:00+02:00
175,0.7313902177421718,2019-07-08T07:00:00+02:00
176,0.8003795388064531,2019-07-08T08:00:00+02:00
177,0.8555275552402425,2019-07-08T09:00:00+02:00
178,0.8828375875142022,2019-07-08T10:00:00+02:00
179,0.898153061582524,2019-07-08T11:00:00+02:00
180,0.9162640317042704,2019-07-08T12:00:00+02:00
181,0.9254639564320325,2019-07-08T13:00:00+02:00
182,0.9005415889270453,2019-07-08T14:00:00+02:00
183,0.8786540404527342,2019-07-08T15:00:00+02:00
184,0.8729319368624749,2019-07-08T16:00:00+02:00
185,0.8681499849703167,2019-07-08T17:00:00+02:00
186,0.8502366559493045,2019-07-08T18:00:00+02:00
187,0.8386321210167895,2019-07-08T19:00:00+02:00
188,0.8261797299698896,2019-07-08T20:00:00+02:00
189,0.8187165871970249,2019-07-08T21:00:00+02:00
190,0.7920149211100924,2019-07-08T22:00:00+02:00
191,0.7306355197870519,2019-07-08T23:00:00+02:00
192,0.7000066307017183,2019-07-09T00:00:00+02:00
193,0.6605878463494731,2019-07-09T01:00:00+02:00
194,0.637537295610289,2019-07-09T02:00:00+02:00
195,0.6238356725686589,2019-07-09T03:00:00+02:00
196,0.6217329081559327,2019-07-09T04:00:00+02:00
197,0.6312911356366382,2019-07-09T05:00:00+02:00
198,0.6751863810116959,2019-07-09T06:00:00+02:00
199,0.7319168340271919,2019-07-09T07:00:00+02:00
200,0.7836540876161392,2019-07-09T08:00:00+02:00
201,0.8378752527102888,2019-07-09T09:00:00+02:00
202,0.8673731104760886,2019-07-09T10:00:00+02:00
203,0.8818656874709037,2019-07-09T11:00:00+02:00
204,0.9001127219292109,2019-07-09T12:00:00+02:00
205,0.9067565848808703,2019-07-09T13:00:00+02:00
206,0.885073438986595,2019-07-09T14:00:00+02:00
207,0.8645837081015404,2019-07-09T15:00:00+02:00
208,0.8626322561350755,2019-07-09T16:00:00+02:00
209,0.8591469500678109,2019-07-09T17:00:00+02:00
210,0.8464707345785195,2019-07-09T18:00:00+02:00
211,0.8337113779363358,2019-07-09T19:00:00+02:00
212,0.8216088586620157,2019-07-09T20:00:00+02:00
213,0.8144643123418339,2019-07-09T21:00:00+02:00
214,0.7967988485785075,2019-07-09T22:00:00+02:00
215,0.7392418255871684,2019-07-09T23:00:00+02:00
216,0.7089289730528895,2019-07-10T00:00:00+02:00
217,0.6719097069271578,2019-07-10T01:00:00+02:00
218,0.6441142950444116,2019-07-10T02:00:00+02:00
219,0.6308675832171847,2019-07-10T03:00:00+02:00
220,0.6255863948574247,2019-07-10T04:00:00+02:00
221,0.6333653515812024,2019-07-10T05:00:00+02:00
222,0.67969478515483,2019-07-10T06:00:00+02:00
223,0.7345640783863026,2019-07-10T07:00:00+02:00
224,0.788559526936857,2019-07-10T08:00:00+02:00
225,0.8379426449031622,2019-07-10T09:00:00+02:00
226,0.8662530978635645,2019-07-10T10:00:00+02:00
227,0.8845142117808287,2019-07-10T11:00:00+02:00
228,0.9061060359670075,2019-07-10T12:00:00+02:00
229,0.9154647024207571,2019-07-10T13:00:00+02:00
230,0.8987508820878424,2019-07-10T14:00:00+02:00
231,0.8850183732765636,2019-07-10T15:00:00+02:00
232,0.8822823114609495,2019-07-10T16:00:00+02:00
233,0.8824278363035287,2019-07-10T17:00:00+02:00
234,0.8701990749238965,2019-07-10T18:00:00+02:00
235,0.8569739831354237,2019-07-10T19:00:00+02:00
236,0.8407161591926026,2019-07-10T20:00:00+02:00
237,0.8327175796041061,2019-07-10T21:00:00+02:00
238,0.8130200547980333,2019-07-10T22:00:00+02:00
239,0.7575003239527686,2019-07-10T23:00:00+02:00
240,0.7281459319782383,2019-07-11T00:00:00+02:00
241,0.6866539612070838,2019-07-11T01:00:00+02:00
242,0.6589806455020121,2019-07-11T02:00:00+02:00
243,0.6452198386477308,2019-07-11T03:00:00+02:00
244,0.6367677669207341,2019-07-11T04:00:00+02:00
245,0.6443276016301119,2019-07-11T05:00:00+02:00
246,0.6872747095269882,2019-07-11T06:00:00+02:00
247,0.7430935871375628,2019-07-11T07:00:00+02:00
248,0.802511046462465,2019-07-11T08:00:00+02:00
249,0.8587483566892359,2019-07-11T09:00:00+02:00
250,0.8939197912144231,2019-07-11T10:00:00+02:00
251,0.9161948865352819,2019-07-11T11:00:00+02:00
252,0.9411845349330714,2019-07-11T12:00:00+02:00
253,0.9548517384278047,2019-07-11T13:00:00+02:00
254,0.9400803547556197,2019-07-11T14:00:00+02:00
255,0.9274816875906626,2019-07-11T15:00:00+02:00
256,0.9272342675332602,2019-07-11T16:00:00+02:00
257,0.9281762835075471,2019-07-11T17:00:00+02:00
258,0.9110150925400265,2019-07-11T18:00:00+02:00
259,0.8985070792827411,2019-07-11T19:00:00+02:00
260,0.876616080506235,2019-07-11T20:00:00+02:00
261,0.8615179198261627,2019-07-11T21:00:00+02:00
262,0.8430117788030184,2019-07-11T22:00:00+02:00
263,0.7866616381294677,2019-07-11T23:00:00+02:00
264,0.7572495927182596,2019-07-12T00:00:00+02:00
265,0.7121178313815614,2019-07-12T01:00:00+02:00
266,0.6751429739840815,2019-07-12T02:00:00+02:00
267,0.6602629336177718,2019-07-12T03:00:00+02:00
268,0.6537122566503949,2019-07-12T04:00:00+02:00
269,0.6577439347652476,2019-07-12T05:00:00+02:00
270,0.7032321902287386,2019-07-12T06:00:00+02:00
271,0.7589512038507821,2019-07-12T07:00:00+02:00
272,0.8185904842168013,2019-07-12T08:00:00+02:00
273,0.8780166805972618,2019-07-12T09:00:00+02:00
274,0.9145975635691049,2019-07-12T10:00:00+02:00
275,0.93045353860628,2019-07-12T11:00:00+02:00
276,0.9576722213471254,2019-07-12T12:00:00+02:00
277,0.9728361325440266,2019-07-12T13:00:00+02:00
278,0.9531792600888158,2019-07-12T14:00:00+02:00
279,0.9357867875741595,2019-07-12T15:00:00+02:00
280,0.9313434939724472,2019-07-12T16:00:00+02:00
281,0.921489208303397,2019-07-12T17:00:00+02:00
282,0.8913852381770039,2019-07-12T18:00:00+02:00
283,0.8802768789601435,2019-07-12T19:00:00+02:00
284,0.8612328246947922,2019-07-12T20:00:00+02:00
285,0.8408774051701832,2019-07-12T21:00:00+02:00
286,0.813786912285889,2019-07-12T22:00:00+02:00
287,0.7607669253808987,2019-07-12T23:00:00+02:00
288,0.7361517738963548,2019-07-13T00:00:00+02:00
289,0.6945759106968299,2019-07-13T01:00:00+02:00
290,0.6631121041303428,2019-07-13T02:00:00+02:00
291,0.6403459250720688,2019-07-13T03:00:00+02:00
292,0.6279623174689273,2019-07-13T04:00:00+02:00
293,0.6188338195616051,2019-07-13T05:00:00+02:00
294,0.621611674553807,2019-07-13T06:00:00+02:00
295,0.62752961061865,2019-07-13T07:00:00+02:00
296,0.6742669867768003,2019-07-13T08:00:00+02:00
297,0.733653254256859,2019-07-13T09:00:00+02:00
298,0.7810082345079136,2019-07-13T10:00:00+02:00
299,0.8058271764221039,2019-07-13T11:00:00+02:00
300,0.8190351836497078,2019-07-13T12:00:00+02:00
301,0.8246290695583983,2019-07-13T13:00:00+02:00
302,0.8174970166711646,2019-07-13T14:00:00+02:00
303,0.7981486401872111,2019-07-13T15:00:00+02:00
